state,year,population_thousand,population
W.P. Labuan,2023,99.0,99000
W.P. Labuan,2024,100.8,100800
W.P. Labuan,2025,100.9,100900
W.P. Putrajaya,2010,73.4,73400
W.P. Putrajaya,2011,77.5,77500
W.P. Putrajaya,2012,78.3,78300
W.P. Putrajaya,2013,79.7,79700
W.P. Putrajaya,2014,80.9,80900
W.P. Putrajaya,2015,83.0,83000
W.P. Putrajaya,2016,84.4,84400
W.P. Putrajaya,2017,87.5,87500
W.P. Putrajaya,2018,97.2,97200
W.P. Putrajaya,2019,103.7,103700
W.P. Putrajaya,2020,109.2,109200
W.P. Putrajaya,2021,115.2,115200
W.P. Putrajaya,2022,117.0,117000
W.P. Putrajaya,2023,118.8,118800
W.P. Putrajaya,2024,120.3,120300
W.P. Putrajaya,2025,120.8,120800
