state,district,place_name,place_type,year,living_quarters_count,total_loss_rm000,total_loss_rm_million
Sarawak,Beluru,Beluru,district,2025,7284,155.692,0.156
Sarawak,Telang Usan,Telang Usan,district,2024,4136,0,0.0
Sarawak,Telang Usan,Telang Usan,district,2025,4136,40.23,0.04
W.P. Kuala Lumpur,,W.P. Kuala Lumpur,state,2024,573529,185.915,0.186
W.P. Kuala Lumpur,,W.P. Kuala Lumpur,state,2025,573529,611.5,0.612
W.P. Kuala Lumpur,,W.P. Kuala Lumpur,state,2024,573529,185.915,0.186
W.P. Kuala Lumpur,,W.P. Kuala Lumpur,state,2025,573529,611.5,0.612
W.P. Labuan,,W.P. Labuan,state,2024,,68.866,0.069
W.P. Labuan,,W.P. Labuan,state,2025,,0,0.0
W.P. Labuan,,W.P. Labuan,state,2024,,68.866,0.069
W.P. Labuan,,W.P. Labuan,state,2025,,0,0.0
W.P. Putrajaya,,W.P. Putrajaya,state,2024,,10.0,0.01
W.P. Putrajaya,,W.P. Putrajaya,state,2025,,0,0.0
W.P. Putrajaya,,W.P. Putrajaya,state,2024,,10.0,0.01
W.P. Putrajaya,,W.P. Putrajaya,state,2025,,0,0.0
W.P. Putrajaya,Nota./ Note.:,Nota./ Note.:,district,2024,,0,0.0
W.P. Putrajaya,Nota./ Note.:,Nota./ Note.:,district,2025,,0,0.0
W.P. Putrajaya,1. *Bilangan Tempat Kediaman merujuk kepada data Banci Penduduk dan Perumahan Malaysia 2020,1. *Bilangan Tempat Kediaman merujuk kepada data Banci Penduduk dan Perumahan Malaysia 2020,district,2024,,0,0.0
W.P. Putrajaya,1. *Bilangan Tempat Kediaman merujuk kepada data Banci Penduduk dan Perumahan Malaysia 2020,1. *Bilangan Tempat Kediaman merujuk kepada data Banci Penduduk dan Perumahan Malaysia 2020,district,2025,,0,0.0
W.P. Putrajaya,Number of Living Quarters refers to the data of Population and Housing Census Malaysia 2020,Number of Living Quarters refers to the data of Population and Housing Census Malaysia 2020,district,2024,,0,0.0
W.P. Putrajaya,Number of Living Quarters refers to the data of Population and Housing Census Malaysia 2020,Number of Living Quarters refers to the data of Population and Housing Census Malaysia 2020,district,2025,,0,0.0
W.P. Putrajaya,"2. ""-""  Tidak terkesan banjir","2. ""-""  Tidak terkesan banjir",district,2024,,0,0.0
W.P. Putrajaya,"2. ""-""  Tidak terkesan banjir","2. ""-""  Tidak terkesan banjir",district,2025,,0,0.0
W.P. Putrajaya,"""-"" Not affected by the flood","""-"" Not affected by the flood",district,2024,,0,0.0
W.P. Putrajaya,"""-"" Not affected by the flood","""-"" Not affected by the flood",district,2025,,0,0.0
